0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1.37,0.12,1.12,0.25,-1.5,-1.12,-0.37,-0.88,-2.5,-4.25,1.5,1.5,1.5,-4,-2.88,-0.25,-4.13,-2.88,-4.63,-3.75,-2.38,-2.38,-0.25,0.88,0.37,1.37,0.75,1.5,4.75,2.5,2.88,-5.25,-9.25,-12.63,-6.88,23.5,0.474242594
1.37,-0.25,1.12,0.12,-1.25,-1.25,-0.25,-0.63,-2.5,-4.13,1.63,1.5,0.88,-3.88,-2.88,-5.5,-4.63,-3.25,-4.5,-3.63,-2.38,-1.88,-0.88,-0.12,1.12,1.37,1.12,1.88,4,2,3,-9.13,-2.75,-10.38,29.12,5.5,0.448861641
1.37,-0.12,1.25,0.25,-1.5,-1.25,-0.12,-0.88,-2.25,-4,1.75,1.25,1.75,-4,-2.63,-4.13,-4.75,-3,-4.63,-3.88,-1.75,-2.25,-1.37,0.5,1,1.88,1.12,1,3.88,2.63,3,-17.37,-8.88,37.13,5.13,0.63,0.431320459
1.37,-0.63,1.25,0.25,-1.5,-1.25,-0.25,-0.75,-2.38,-4.13,1.75,1.5,0.63,-4,-2.75,0.63,-4.75,-3,-4.63,-3.25,-2.38,-2.88,-0.75,0.37,1.75,1.75,0.37,1.25,4.38,2.5,3.38,-19.62,30.75,3,-10,-0.12,0.42454786
1.5,-0.25,1,0.25,-1.25,-1.25,-0.12,-0.75,-2.63,-4.25,1.88,1.37,1,-3.88,-3.13,-0.25,-4.88,-3,-4,-4,-2.38,-2.25,-1,0.75,1.12,0.88,0.63,1.37,4.25,2.88,3.25,16,4.75,0.12,-4.75,-18.12,0.432146481
1.5,0.5,1.12,0.25,-1.63,-1.12,0,-0.88,-2.5,-4.38,1.75,1.25,4.88,-4,-2.88,-0.12,-4.63,-2.88,-4.63,-3.88,-2.38,-2.25,-0.63,1,0.63,1.25,0.88,1.25,5,2.75,2.88,9.38,-9.5,-14.13,-23.87,-9.5,0.45752507
1.37,-0.25,1.12,0.12,-1.37,-1.12,-0.25,-0.75,-2.38,-4.38,1.37,1.63,3.25,-3.88,-3.13,-3,-4.38,-3.13,-4.75,-3.63,-2.25,-2,-0.37,0,1,1.25,0.63,1.88,4.38,2,3,-0.5,-0.37,-15.88,-8.38,4.88,0.502067039
1.37,-0.12,1.12,0.5,-1.5,-1.25,-0.12,-0.88,-2.63,-4.13,2,1.75,1.75,-4.13,-2.63,-5,-4.75,-3.13,-4.5,-3.88,-1.75,-1.88,-1.25,0.5,1,1.25,1.37,1.5,3.75,2.5,3.13,-4.75,-10,-3.63,10.63,-5.75,0.563293002
1.37,-0.37,1.37,0.25,-1.5,-1.37,-0.25,-0.88,-2.38,-4.38,2,1.5,1.75,-3.75,-2.75,4.25,-4.63,-3,-4.63,-3.25,-2.13,-2.75,-1,0.63,0.88,1.88,1,0.63,4.38,2.63,3.13,-9.38,-3,7.5,-4.38,-10.25,0.634900061
1.5,-0.5,1.12,0.25,-1.5,-1.12,0,-0.75,-2.5,-4.13,1.88,1.5,0.88,-3.75,-3.13,-0.37,-4.63,-3.13,-4,-3.5,-2.75,-2.38,-0.88,0.37,1.5,1.25,0.12,1.37,4.25,2.5,3.25,12.5,5.88,-10.38,-10,2.63,0.709072377
1.5,0.25,1.12,0.25,-1.37,-1.12,0,-0.88,-2.5,-4.25,1.88,1.12,2.75,-4,-3,0,-4.75,-2.75,-4.38,-4,-2.25,-2.38,-1.12,1.12,0.75,0.75,0.75,1.37,4.63,3,3.13,7.38,-4.88,0.12,-7.5,-10.75,0.779094902
1.25,-0.37,1.25,0.25,-1.25,-1.12,-0.37,-0.88,-2.5,-4.38,1.37,1.63,2.5,-3.88,-3,0.25,-4.38,-2.88,-4.75,-3.75,-2.38,-2.38,-0.37,0.37,0.63,1.37,0.75,1.63,4.75,2.38,2.88,-10.75,-9.88,-29.25,-14.88,16.62,0.840573684
1.37,-0.25,1.12,0.37,-1.25,-1.5,-0.12,-0.75,-2.5,-4.13,2,1.37,1.25,-3.88,-3,-4.88,-4.75,-3.13,-4.5,-3.75,-2.38,-1.75,-1,0,1.12,1.25,1.37,1.63,4,2.38,3.13,-10.25,-13.63,-12.88,31.75,3.88,0.891330562
1.37,-0.12,1.25,0.25,-1.37,-1.25,-0.12,-0.88,-2.38,-4.13,2,1.37,1.75,-3.75,-2.63,7.13,-4.63,-3,-4.63,-3.63,-1.75,-2.75,-1.37,0.5,1,2.13,1.25,0.88,4.25,2.63,3.13,-35.38,-4.13,9.63,-1,-9.38,0.930774716
1.37,-0.63,1.25,0.25,-1.37,-1.25,-0.25,-0.63,-2.38,-4.13,1.63,1.5,0.25,-3.88,-2.88,5.13,-4.5,-3.13,-4.38,-3.38,-2.63,-2.38,-1.12,0.37,1.63,1.63,0.25,1.37,4.25,2.5,3.25,-4,23.87,0,-8.63,0.25,0.959284191
1.5,0,1.12,0.25,-1.5,-1.37,-0.25,-0.75,-2.38,-4.25,1.88,1.5,1.37,-4,-3.13,-0.37,-5,-2.88,-4.13,-4.13,-2.63,-2.25,-1,1,1.25,0.75,0.75,1.5,4.25,3,3,6.38,-0.37,-14.25,-4.88,-11.88,0.977766412
1.37,0.5,1.25,0.25,-1.5,-1,-0.12,-0.75,-2.38,-4.25,1.75,1.25,2.5,-3.88,-2.75,0.25,-4.5,-2.63,-4.88,-3.75,-2.13,-2.13,-0.25,1,0.25,1.37,0.75,1.37,4.75,2.75,2.88,-5.13,-9.88,-8.75,-20.12,-4,0.987398488
1.37,-0.12,1.12,0.37,-1.37,-1.25,-0.25,-0.88,-2.5,-4.38,1.37,2,0.37,-3.75,-3,-12,-4.5,-3,-4.5,-3.63,-2.25,-1.5,-0.63,0,1,1.25,0.75,2,4.38,2,3,-9.88,1.12,-22.62,-4.38,9,0.989507707
1.37,-0.12,1.25,0.37,-1.5,-1.25,-0.12,-0.75,-2.38,-4.13,1.88,1.63,1.88,-3.75,-2.5,-4.5,-4.63,-2.88,-4.5,-3.88,-1.63,-2.25,-1.37,0.37,1,1.37,1.25,1.12,3.63,2.5,3.25,-5.5,-9.5,2.13,4.38,-5.25,0.985551992
1.37,-0.63,1.25,0.12,-1.5,-1.12,-0.12,-0.75,-2.38,-4.38,1.75,1.5,1.88,-3.63,-2.63,4.5,-4.63,-3.13,-4.63,-3,-2,-2.63,-0.88,0.5,0.88,1.88,0.63,0.88,4.38,2.63,3,-10.63,8.13,7.63,-1,-9.38,0.97716564
